Sample,,,,,,,Tripalmitin Results,,,Triheptadecanoic Results,,,Tristerin Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,,1.0mg/mL,20170802--064.D,Cal,7,8/3/2017 2:12 PM,11.472,1.0615,104.1,11.984,1.1862,101.4,12.441,1.0832,107.2
,,Blank,20170802--065.D,Blank,0,8/3/2017 2:33 PM,11.495,0.1068,,11.963,0.1126,,12.653,0.1098,
,!,0.05mg/mL,20170802--066.D,Cal,1,8/3/2017 2:53 PM,11.474,0.1167,228.9,11.986,0.1254,214.3,12.441,0.1202,238.0
,!,0.1mg/mL,20170802--067.D,Cal,2,8/3/2017 3:13 PM,11.475,0.1299,127.3,11.989,0.1427,122.0,12.444,0.1342,132.9
,,0.15mg/mL,20170802--068.D,Cal,3,8/3/2017 3:34 PM,11.476,0.1541,100.8,11.988,0.1737,99.0,12.444,0.1558,102.9
,,0.25mg/mL,20170802--069.D,Cal,4,8/3/2017 3:54 PM,11.486,0.2072,81.2,11.999,0.2388,81.6,12.456,0.2055,81.4
,,0.5mg/mL,20170802--070.D,Cal,5,8/3/2017 4:14 PM,11.486,0.4462,87.5,11.999,0.5309,90.7,12.454,0.4362,86.4
,,0.75mg/mL,20170802--071.D,Cal,6,8/3/2017 4:35 PM,11.493,0.7935,103.7,12.004,0.9206,104.9,12.462,0.7400,97.7
,,1.0mg/mL,20170802--072.D,Cal,7,8/3/2017 4:55 PM,11.479,1.0540,103.3,11.990,1.1877,101.5,12.447,1.0686,105.8
,,Blank,20170802--073.D,Blank,0,8/3/2017 5:15 PM,11.519,0.1068,,12.100,0.1127,,12.690,0.1095,
,!,0.1mg/mL,20170802--074.D,Cal,2,8/3/2017 5:36 PM,11.480,0.1301,127.5,11.992,0.1430,122.3,12.448,0.1332,131.9
,,0.15mg/mL,20170802--075.D,Cal,3,8/3/2017 5:56 PM,11.480,0.1476,96.5,11.991,0.1642,93.5,12.449,0.1498,98.8
,,0.25mg/mL,20170802--076.D,Cal,4,8/3/2017 6:16 PM,11.481,0.2077,81.4,11.994,0.2436,83.3,12.450,0.2073,82.1
,,0.5mg/mL,20170802--077.D,Cal,5,8/3/2017 6:37 PM,11.479,0.4391,86.1,11.992,0.5142,87.9,12.449,0.4346,86.1
,,0.75mg/mL,20170802--078.D,Cal,6,8/3/2017 6:57 PM,11.483,0.7754,101.4,11.996,0.9072,103.4,12.453,0.7339,96.9
,,1.0mg/mL,20170802--079.D,Cal,7,8/3/2017 7:18 PM,11.478,1.0432,102.3,11.992,1.1741,100.3,12.448,1.0506,104.0
,,Blank,20170802--080.D,Blank,0,8/3/2017 7:38 PM,11.410,0.1067,,11.990,0.1126,,12.690,0.1095,
,,Blank,20170802--081.D,Blank,0,8/3/2017 7:58 PM,11.463,0.1068,,12.083,0.1127,,12.688,0.1098,
